,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label,lable
104,1,1,5,1,1,3,0,0,0.0,
105,1,1,5,1,1,2,0,0,0.0,
106,1,1,3,0,0,2,0,0,0.0,
107,1,1,4,1,1,2,0,0,0.0,
108,2,1,5,0,0,4,0,0,0.0,
109,0,2,4,0,0,0,0,0,0.0,
112,1,0,6,1,1,3,1,0,0.0,
114,2,2,4,1,1,2,0,0,0.0,
119,2,2,4,1,2,1,0,0,0.0,
120,2,2,4,0,0,4,0,0,0.0,
121,2,2,4,1,1,2,0,0,0.0,
122,2,2,4,1,2,3,0,0,0.0,
123,2,2,4,1,2,2,0,0,0.0,
124,2,2,4,0,0,4,0,0,0.0,
127,1,1,4,1,3,2,1,1,1.0,
128,1,1,6,1,3,2,3,1,1.0,
129,1,1,4,1,1,3,0,1,1.0,
130,2,1,6,1,1,1,1,0,0.0,
146,0,2,3,0,0,1,1,0,0.0,
147,2,0,10,0,0,1,3,0,0.0,
153,0,2,10,0,0,2,2,0,0.0,
154,1,0,4,0,0,2,0,0,0.0,
156,0,0,3,0,0,1,1,0,0.0,
162,1,1,5,1,3,3,1,0,0.0,
163,0,1,4,0,0,3,0,0,0.0,
169,1,1,5,1,3,3,1,0,0.0,
171,0,1,4,0,0,4,0,0,0.0,
172,0,0,9,0,0,3,0,0,0.0,
178,1,1,5,1,3,3,1,0,0.0,
179,0,1,5,0,0,1,3,0,0.0,
180,0,0,4,0,0,1,0,0,0.0,
181,0,0,3,0,0,0,0,0,0.0,
182,1,0,3,0,0,1,1,0,0.0,
189,1,1,5,1,3,3,1,0,0.0,
190,0,1,6,0,0,2,1,0,0.0,
191,1,0,8,0,0,2,2,0,0.0,
200,1,1,5,1,3,3,1,0,0.0,
202,0,0,4,0,0,1,1,0,0.0,
203,1,0,9,1,1,2,1,0,0.0,
204,0,1,5,0,0,3,1,0,0.0,
210,1,1,5,1,3,3,1,0,0.0,
211,0,1,9,1,1,2,3,0,0.0,
212,1,0,8,0,0,2,1,0,0.0,
213,0,1,8,0,0,3,1,0,0.0,
214,0,0,4,0,0,1,1,0,0.0,
219,0,2,8,0,0,4,2,0,0.0,
220,1,0,6,0,0,2,1,0,0.0,
221,0,1,5,0,0,1,1,0,0.0,
246,2,2,10,0,0,6,1,0,0.0,
251,2,2,4,0,0,1,0,0,0.0,
256,1,2,5,0,0,2,1,0,0.0,
259,2,2,5,0,0,3,1,0,0.0,
